epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.3501,1.1059,2.98736,1.30793,0.0043,0.81327,0.54517,0.36884,1.2518,3.0474,1.44621,0.000467512,0.000467512,0.000467512
2,26.2437,1.2351,2.33204,1.43216,0.6187,0.52237,0.46065,0.26402,1.49344,2.61136,1.67874,0.000850405,0.000850405,0.000850405
3,31.7776,1.3167,2.27268,1.45333,0.53068,0.49607,0.46789,0.27504,1.63449,2.5284,1.80145,0.00113898,0.00113898,0.00113898
4,37.1884,1.31839,2.05817,1.46093,0.57296,0.43895,0.47215,0.27191,1.7444,3.03661,1.89991,0.00100459,0.00100459,0.00100459
5,42.7972,1.32688,1.89529,1.45791,0.58555,0.46497,0.52139,0.31343,1.62675,2.18259,1.75036,0.000863116,0.000863116,0.000863116
6,48.3847,1.24288,1.66078,1.39459,0.80043,0.62977,0.7113,0.47322,1.34082,1.50557,1.49242,0.000721645,0.000721645,0.000721645
7,53.8123,1.13664,1.48734,1.30703,0.73497,0.72375,0.76013,0.53689,1.17493,1.31281,1.33612,0.000580174,0.000580174,0.000580174
8,59.0921,1.06634,1.32235,1.26332,0.85662,0.73525,0.79967,0.55796,1.16581,1.17619,1.30465,0.000438703,0.000438703,0.000438703
9,64.3493,0.99513,1.22077,1.22825,0.81084,0.73259,0.79974,0.59401,1.09518,1.06497,1.27224,0.000297232,0.000297232,0.000297232
10,69.8734,0.94081,1.14164,1.18655,0.84873,0.79354,0.83739,0.62283,1.02724,0.96364,1.23084,0.000155761,0.000155761,0.000155761
